Row Labels,Count of user_session,Sum of price
sunday,35,10733.5
aardwolf,1,84.43
abk,3,34.68
abtoys,20,700.24
academie,2,23.73
a-case,184,1400.34
accumaster,1,97.49
acd,1,6.71
acebeam,1,122.27
acer,10719,6427846.37
aces,9,1647.39
achilles,31,1793.17
acm,11,312.35
acme,341,17551.1
acqua,4,16.24
acron,2,28.26
activision,82,4407.78
acuvue,61,1431.79
acv,18,1411.77
adam,4,2357.84
adamas,5,656.98
adamex,195,76632.26
adata,117,11128.98
addlink,2,11.78
adelline,18,620.89
a-derma,10,114.68
adidas,747,67848.21
adil,261,28715.51
adile,60,4217.6
admira,36,6232.12
adriatica,127,32654.99
advan,8,3783.9
aeg,73,4949.46
a-elita,5,236.82
aeolus,44,11848.94
aero,104,46898.98
aerocool,713,52850.83
aeroforce,1150,165327
aerosystem,14,24144.37
afnan,58,2887.44
afox,17,2436.97
ag,10,903.48
agatharuizdelaprada,4,183.79
agl,178,20389.9
agness,175,5822.43
agu,14,1067.12
aiken,3,526.12
aileron,6,204.38
aimoto,599,32616.63
air-cool,30,490.83
airline,35,1237.33
airmax,2,55.94
airwheel,27,8932.4
aivengo,64,2344.29
akai,65,6683.41
akel,3,208.5
akg,27,5149.13
akom,243,17853.59
akpo,68,9919.24
aksion,1,76.42
akvaton,133,31255.18
alaia,4,280.06
alavann,2,205.96
alca,32,1351.32
alcasta,123,25122.83
alcon,40,752.24
alctron,11,1431.7
aldit,1,1472.37
alerana,12,95.13
alesis,281,68775.97
alex,4,2210.6
alexandre.j,4,480.08
alexika,10,3111.54
alfa,1,38.61
algotherm,12,888.04
alilo,10,511.18
alinex,5,26.96
alis,320,34617.43
al-ko,17,3733.22
alkor,67,48084.86
alligator,62,2522.04
allocacoc,7,65.83
allvega,10,1151.38
almacom,679,103012.06
almada,5,838.4
alphaline,11,949.06
alphard,573,57314.33
alpicool,31,20588.02
alpika,10,1656.46
alpina,122,26281.84
alpine,965,217422.57
alser,34,27383.46
altacto,1,4.65
altair,20,2204.23
alteco,1288,76315.61
altenzo,33,2090.21
alterna,3,189.29
altinbasak,17,600.24
alutec,73,61241.8
alvarez,1,236.81
alvitek,113,4159.37
